ROI_type,dice_coef,task,,,
mean,0.852033552,train,,,
mean,0.892667501,train,,,
mean,0.912286393,train,,,
mean,0.856960038,train,,,
mean,0.841062316,train,,,
mean,0.82826396,train,,,
mean,0.924931815,train,,,
Anterior,0.811805289,validation,,,
Anterior,0.887350535,validation,,,
Anterior,0.895975702,validation,,,
Anterior,0.904303147,validation,,,
Anterior,0.87654321,validation,,,
Anterior,0.869377163,validation,,,
Anterior,0.900451128,validation,,,
Anterior,0.8125,validation,,,
Anterior,0.827844311,validation,,,
Anterior,0.922580645,validation,,,
Anterior,0.927185689,validation,,,
Anterior,0.838023336,validation,,,
Anterior,0.895701433,validation,,,
Anterior,0.889006623,validation,,,
Anterior,0.921981933,validation,,,
Anterior,0.813837375,validation,,,
Anterior,0.863787375,validation,,,
Anterior,0.874731568,validation,,,
Anterior,0.839622642,validation,,,
Anterior,0.892990904,validation,,,
Anterior,0.898701299,validation,,,
Anterior,0.905515177,validation,,,
Anterior,0.9,validation,,,
Anterior,0.864606563,validation,,,
Anterior,0.919586445,validation,,,
Anterior,0.915516289,validation,,,
Anterior,0.893359186,validation,,,
Anterior,0.905660377,validation,,,
Anterior,0.877031585,validation,,,
Anterior,0.861349693,validation,,,
Anterior,0.91864305,validation,,,
Anterior,0.929045093,validation,,,
Anterior,0.906462083,validation,,,
Anterior,0.866161616,validation,,,
Anterior,0.907617504,validation,,,
Anterior,0.847304348,validation,,,
Anterior,0.884160757,validation,,,
Anterior,0.89384574,validation,,,
Anterior,0.904710921,validation,,,
Anterior,0.915228034,validation,,,
Posterior,0.849532037,validation,,,
Posterior,0.891152503,validation,,,
Posterior,0.867052023,validation,,,
Posterior,0.864814237,validation,,,
Posterior,0.847100176,validation,,,
Posterior,0.850132626,validation,,,
Posterior,0.870007262,validation,,,
Posterior,0.786385737,validation,,,
Posterior,0.842671732,validation,,,
Posterior,0.874775928,validation,,,
Posterior,0.891441072,validation,,,
Posterior,0.827411168,validation,,,
Posterior,0.871598046,validation,,,
Posterior,0.848840804,validation,,,
Posterior,0.882550336,validation,,,
Posterior,0.807986689,validation,,,
Posterior,0.835265191,validation,,,
Posterior,0.867484663,validation,,,
Posterior,0.786671247,validation,,,
Posterior,0.882133639,validation,,,
Posterior,0.871568318,validation,,,
Posterior,0.885312899,validation,,,
Posterior,0.836520334,validation,,,
Posterior,0.842189586,validation,,,
Posterior,0.898029135,validation,,,
Posterior,0.906377205,validation,,,
Posterior,0.910945685,validation,,,
Posterior,0.856711916,validation,,,
Posterior,0.87628866,validation,,,
Posterior,0.880373832,validation,,,
Posterior,0.903867403,validation,,,
Posterior,0.919228451,validation,,,
Posterior,0.900517189,validation,,,
Posterior,0.8375,validation,,,
Posterior,0.883808096,validation,,,
Posterior,0.848830234,validation,,,
Posterior,0.865529552,validation,,,
Posterior,0.873786408,validation,,,
Posterior,0.880327869,validation,,,
Posterior,0.897499313,validation,,,
Whole Hippocampus,0.872842027,validation,,,
Whole Hippocampus,0.899002117,validation,,,
Whole Hippocampus,0.891682785,validation,,,
Whole Hippocampus,0.892512268,validation,,,
Whole Hippocampus,0.879799964,validation,,,
Whole Hippocampus,0.885135135,validation,,,
Whole Hippocampus,0.893568021,validation,,,
Whole Hippocampus,0.855675775,validation,,,
Whole Hippocampus,0.882867433,validation,,,
Whole Hippocampus,0.923016393,validation,,,
Whole Hippocampus,0.910306845,validation,,,
Whole Hippocampus,0.867771509,validation,,,
Whole Hippocampus,0.903698653,validation,,,
Whole Hippocampus,0.896148359,validation,,,
Whole Hippocampus,0.902476138,validation,,,
Whole Hippocampus,0.889309692,validation,,,
Whole Hippocampus,0.879409647,validation,,,
Whole Hippocampus,0.894945491,validation,,,
Whole Hippocampus,0.875773441,validation,,,
Whole Hippocampus,0.919307958,validation,,,
Whole Hippocampus,0.92797535,validation,,,
Whole Hippocampus,0.905853602,validation,,,
Whole Hippocampus,0.89016044,validation,,,
Whole Hippocampus,0.889889599,validation,,,
